,ShirtNumber,PlayerName,Team,SuccesfulSuccesful,Errors,Attempts,AveragePerMatch,Success%,TotalAttempts
0,14,Bartsch-Hackley Michelle,USA,132,8,47,16.5,70.59,187
1,19,Milenkovic Bojana,SRB,118,5,52,14.75,67.43,175
2,16,Rodrigues Fernanda,BRA,113,3,71,14.12,60.43,187
3,10,Larson Jordan,USA,108,1,49,13.5,68.35,158
4,4,Wong-Orantes Justine,USA,102,2,33,12.75,74.45,137
5,10,Braga Guimaraes Gabriela,BRA,101,6,35,12.62,71.13,142
6,16,Voronkova Irina,ROC,96,7,58,16.0,59.63,161
7,9,Ismailoglu Meliha,TUR,96,6,52,16.0,62.34,154
8,10,Kim Yeon Koung,KOR,88,4,62,11.0,57.14,154
9,13,Park Jeongah,KOR,78,15,94,9.75,41.71,187
10,9,Bosetti Caterina Chiara,ITA,76,3,28,12.67,71.03,107
11,4,Ishikawa Mayu,JPN,76,2,35,15.2,67.26,113
12,9,Oh Jiyoung,KOR,76,13,34,9.5,61.79,123
13,18,Brait Camila,BRA,73,0,43,9.12,62.93,116
14,19,Podkopaeva Anna,ROC,72,4,44,12.0,60.0,120
15,2,Akoz Simge Sebnem,TUR,69,9,27,11.5,65.71,105
16,1,Busa Bianka,SRB,67,9,37,8.38,59.29,113
17,7,Baladin Hande,TUR,65,9,34,10.83,60.19,108
18,14,Moim Mercy,KEN,65,11,48,13.0,52.42,124
19,14,Pietrini Elena,ITA,63,4,58,10.5,50.4,125
20,3,Nizetich Paula Yamila,ARG,61,5,39,12.2,58.1,105
21,5,Castillo Brenda,DOM,57,3,17,9.5,74.03,77
22,6,De Gennaro Monica,ITA,56,0,24,9.33,70.0,80
23,16,Peña Isabel Yonkaira Paola,DOM,55,8,42,9.17,52.38,105
24,18,Wang Mengjie,CHN,54,4,27,10.8,63.53,85
25,12,Rizzo Tatiana Soledad,ARG,51,2,20,10.2,69.86,73
26,17,Popovic Silvija,SRB,49,7,35,6.12,53.85,91
27,6,Kobata Mako,JPN,48,1,15,9.6,75.0,64
28,12,Li Yingying,CHN,47,1,19,9.4,70.15,67
29,6,Gong Xiangyu,CHN,45,3,25,9.0,61.64,73
30,9,Zhang Changning,CHN,44,3,17,8.8,68.75,64
31,10,Fedorovtseva Arina,ROC,42,8,57,7.0,39.25,107
32,16,Kundu Agripina Khayesi,KEN,42,5,53,8.4,42.0,100
33,14,Rivera Brens Prisilla,DOM,39,7,50,6.5,40.62,96
34,8,Ishii Yuki,JPN,38,1,21,7.6,63.33,60
35,17,Sylla Miryam Fatime,ITA,34,6,34,6.8,45.95,74
36,4,Bulaich Simian Daniela,ARG,34,8,31,6.8,46.58,73
37,5,Ercan Seyma,TUR,32,1,16,8.0,65.31,49
38,1,Lee Soyoung,KOR,32,8,23,4.57,50.79,63
39,18,De La Cruz De Peña Bethania,DOM,27,6,19,4.5,51.92,52
40,1,Rodriguez Elina María,ARG,25,5,14,6.25,56.82,44
41,4,Kasaya Leonida,KEN,25,12,29,5.0,37.88,66
42,2,Koga Sarina,JPN,24,0,10,8.0,70.59,34
43,19,Pyo Seungju,KOR,20,3,28,2.5,39.22,51
44,20,Blagojevic Jelena,SRB,18,1,14,3.0,54.55,33
45,1,Kurogo Ai,JPN,18,0,24,3.6,42.86,42
46,20,Martinez Brayelin Elizabeth,DOM,15,1,30,3.0,32.61,46
47,15,Hayashi Kotona,JPN,15,1,7,3.0,65.22,23
48,25,Martinez Caro Larysmer,DOM,12,1,9,2.0,54.55,22
49,2,Zhu Ting,CHN,10,6,11,3.33,37.04,27
50,4,Senoglu Tugba,TUR,8,1,15,2.0,33.33,24
51,8,Goncharova Nataliya,ROC,6,2,2,1.0,60.0,10
52,23,Robinson Kelsey,USA,5,4,6,2.5,33.33,15
53,11,Kim Su Ji,KOR,5,0,2,0.62,71.43,7
54,10,Chirichella Cristina,ITA,4,0,0,1.0,100.0,4
55,9,Mihajlovic Brankica,SRB,4,0,7,1.33,36.36,11
56,14,Fetisova Irina,ROC,3,0,0,0.5,100.0,3
57,11,Danesi Anna,ITA,3,0,0,0.5,100.0,3
58,11,Lazcano Julieta Constanza,ARG,3,0,0,0.6,100.0,3
59,3,Eve Mejia Lisvel Elisa,DOM,3,2,3,0.6,37.5,8
60,5,Shimamura Haruyo,JPN,3,0,1,0.6,75.0,4
61,13,Kaei Lorine Chebet,KEN,3,0,2,0.6,60.0,5
62,14,Yang Hyo Jin,KOR,3,0,0,0.38,100.0,3
63,12,Pereira Natalia,BRA,3,1,1,0.43,60.0,5
64,6,Koroleva Irina,ROC,2,1,2,0.33,40.0,5
65,12,Lazareva Anna,ROC,2,0,2,0.33,50.0,4
66,25,Smirnova Kseniia,ROC,2,3,5,0.33,20.0,10
67,13,Fahr Sarah Luisa,ITA,2,2,2,0.33,33.33,6
68,22,Washington Haleigh,USA,2,0,3,0.25,40.0,5
69,15,Fortuna Antonela,ARG,2,1,1,0.4,50.0,4
70,17,Herrera Rodriguez Candelaria Lucia,ARG,2,0,0,0.5,100.0,2
71,5,Popovic Mina,SRB,2,2,1,0.25,40.0,5
72,1,Yuan Xinyue,CHN,2,1,1,0.4,50.0,4
73,17,Yan Ni,CHN,2,0,1,0.67,66.67,3
74,11,Araki Erika,JPN,2,0,0,0.4,100.0,2
75,10,Murambi Noel,KEN,2,1,3,0.67,33.33,6
76,15,Jepkirui Pamela,KEN,2,0,2,2.0,50.0,4
77,15,Da Silva Ana Carolina,BRA,2,0,0,0.25,100.0,2
78,2,De Oliveira Saad Gattaz Caroline,BRA,2,0,2,0.25,50.0,4
79,18,Egonu Paola Ogechi,ITA,1,0,1,0.17,50.0,2
80,26,Enina Ekaterina,ROC,1,0,0,0.25,100.0,1
81,4,Pilipenko Daria,ROC,1,0,3,0.33,25.0,4
82,16,Akinradewo Foluke,USA,1,0,0,0.12,100.0,1
83,13,Farriol Bianca,ARG,1,0,0,0.2,100.0,1
84,16,Rasic Milena,SRB,1,0,4,0.12,20.0,5
85,1,Vargas Valdez Annerys Victoria,DOM,1,0,1,0.25,50.0,2
86,21,Martinez Jineiry,DOM,1,0,2,0.17,33.33,3
87,11,Yao Di,CHN,1,0,1,0.2,50.0,2
88,14,Erdem Dündar Eda,TUR,1,0,0,0.17,100.0,1
89,13,Boz Meryem,TUR,1,1,0,0.2,50.0,2
90,19,Mukuvilani Edith,KEN,1,0,2,0.2,33.33,3
91,9,Okumura Mai,JPN,1,0,0,1.0,100.0,1
92,11,Caixeta Tandara,BRA,1,0,0,0.17,100.0,1
93,7,Montibeller Rosamaria,BRA,1,1,0,0.14,50.0,2
94,8,Park Eunjin,KOR,1,0,0,0.17,100.0,1
95,13,Startseva Evgeniya,ROC,0,1,2,0.0,0.0,3
96,5,Malinov Ofelia,ITA,0,0,0,,,0
97,1,Sorokaite Indre,ITA,0,0,0,,,0
98,5,Matveeva Polina,ROC,0,0,0,,,0
99,8,Orro Alessia,ITA,0,0,0,,,0
100,7,Folie Raphaela,ITA,0,0,0,,,0
101,15,Hill Kimberly,USA,0,0,0,,,0
102,2,Poulter Jordyn,USA,0,1,0,0.0,0.0,1
103,12,Thompson Jordan,USA,0,0,0,,,0
104,14,Mayer Victoria,ARG,0,0,2,0.0,0.0,2
105,16,Mercado Erika,ARG,0,0,0,,,0
106,11,Drews Andrea,USA,0,0,0,,,0
107,1,Hancock Micha,USA,0,0,0,,,0
108,24,Ogbogu Chiaka,USA,0,0,0,,,0
109,2,Germanier Sabrina Soledad,ARG,0,0,0,,,0
110,6,Nosach Eugenia,ARG,0,0,0,,,0
111,10,Ognjenovic Maja,SRB,0,2,2,0.0,0.0,4
112,18,Boškovic Tijana,SRB,0,0,1,0.0,0.0,1
113,6,Dominguez Martinez Camil Inmaculada,DOM,0,0,0,,,0
114,7,Marte Frica Niverka Dharlenis,DOM,0,1,2,0.0,0.0,3
115,23,Gonzalez Lopez Gaila Ceneida,DOM,0,0,0,,,0
116,14,Aleksic Maja,SRB,0,0,0,,,0
117,8,Mirkovic Sladjana,SRB,0,0,0,,,0
118,13,Bjelica Ana,SRB,0,0,0,,,0
119,19,Liu Yanhan,CHN,0,0,0,,,0
120,16,Ding Xia,CHN,0,0,0,,,0
121,3,Özbay Cansu,TUR,0,1,1,0.0,0.0,2
122,18,Gunes Zehra,TUR,0,0,0,,,0
123,99,Karakurt Ebrar,TUR,0,0,0,,,0
124,7,Wang Yuanyuan,CHN,0,0,1,0.0,0.0,1
125,10,Liu Xiaotong,CHN,0,0,1,0.0,0.0,1
126,6,Caliskan Kubra,TUR,0,0,0,,,0
127,11,Aydemir Akyol Naz,TUR,0,1,1,0.0,0.0,2
128,12,Momii Aki,JPN,0,0,0,,,0
129,18,Chemtai Emmaculate,KEN,0,0,0,,,0
130,12,Emaniman Gladys Ekaru,KEN,0,0,3,0.0,0.0,3
131,1,Wairimu Jane Wacu,KEN,0,1,0,0.0,0.0,1
132,5,Kiprono Sharon Chepchumba,KEN,0,0,1,0.0,0.0,1
133,8,Lusenaka Joy,KEN,0,0,0,,,0
134,3,Tashiro Kanami,JPN,0,0,0,,,0
135,19,Yamada Nichika,JPN,0,0,0,,,0
136,8,Silva Carneiro Macris Fernanda,BRA,0,0,0,,,0
137,7,An Hyejin,KOR,0,0,0,,,0
138,16,Jeong Jiyun,KOR,0,0,0,,,0
139,4,Kim Heejin,KOR,0,0,0,,,0
140,3,Yeum Hye Seon,KOR,0,0,0,,,0
141,9,Ratzke Roberta Silva,BRA,0,0,0,,,0
142,17,Menezes Oliveira de Souza Ana Cristina,BRA,0,0,1,0.0,0.0,1
143,20,Correa Ana Beatriz,BRA,0,0,0,,,0
